ojibwe	english	speaker	fst_readings
Aandi endazhi-gaaskiziged.	Where does he smoke his meat?	nj	[{'word_form': 'aandi', 'fst_analyses': ['aandi+ADVInter']}, {'word_form': 'endazhi-gaaskiziged', 'fst_analyses': ['ChCnj+PVRel/dazhi+gaaskizige+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVRel/dazhi+gaaskizige+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}]
Bijiinaago gii-shakaagonagaag, nindede gii'-miikanaake. Noongom wawiinge baapaagadamon.	Yesterday when the snow was moist, my dad made the trail. Today it is well-packed down.	nj	"[{'word_form': 'bijiinaago', 'fst_analyses': ['bijiinaago+ADVTmp']}, {'word_form': 'gii-shakaagonagaag', 'fst_analyses': ['PVTense/gii+zhakaagonagaa+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+zhakaagonagaa+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'nindede', 'fst_analyses': ['dedey+NAD+ProxSg+1SgPoss']}, {'word_form': ""gii'-miikanaake"", 'fst_analyses': [""PVTense/gii'+miikanaake+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'noongom', 'fst_analyses': ['noongom+ADVTmp']}, {'word_form': 'wawiinge', 'fst_analyses': ['wawiinge+ADVMan']}, {'word_form': 'baapaagadamon', 'fst_analyses': ['baapaagadamon+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Giishpin waabandaman gijigaanakwagoodeg gii-biboong, wiiba da-gijigadaasin mikwamiing.	If there are ripples in the sky in the winter, there will soon be ripples of snow on the ice.	nj	[{'word_form': 'giishpin', 'fst_analyses': ['giishpin+ADVGram']}, {'word_form': 'waabandaman', 'fst_analyses': ['waabandan+VTI+Cnj+Pos+Neu+2SgSubj+0SgObj', 'waabandan+VTI+Cnj+Pos+Neu+2SgSubj+0PlObj']}, {'word_form': 'gijigaanakwagoodeg', 'fst_analyses': ['gijigaanakwagoode+VII+Cnj+Pos+Neu+0PlSubj', 'gijigaanakwagoode+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': 'gii-biboong', 'fst_analyses': ['PVTense/gii+biboon+VII+Cnj+Pos+Neu+0PlSubj', 'PVTense/gii+biboon+VII+Cnj+Pos+Neu+0SgSubj']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'wiiba', 'fst_analyses': ['wiiba+ADVTmp']}, {'word_form': 'da-gijigadaasin', 'fst_analyses': ['PVTense/ga+gijigadaasin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'mikwamiing', 'fst_analyses': ['mikwam+NA+Loc']}, {'word_form': '.', 'fst_analyses': []}]
Gii-shiigonige imaa ataasoowigamigong.	He emptied everything out of the storage shed.	es	[{'word_form': 'gii-shiigonige', 'fst_analyses': ['PVTense/gii+zhiigonige+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'ataasoowigamigong', 'fst_analyses': ['ataasoowigamig+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}]
Waawiyekizowag igiweg mishiiminaatigoog.	Those apple trees stand in a circle.	es	[{'word_form': 'waawiyekizowag', 'fst_analyses': ['waawiyekizowag+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'igiweg', 'fst_analyses': ['igiweg+PRONDem+NA+ProxPl']}, {'word_form': 'mishiiminaatigoog', 'fst_analyses': ['mishiiminaatig+NA+ProxPl']}, {'word_form': '.', 'fst_analyses': []}]
Oowaa, jiikibani'o gaa-niimid.	Oh, look at that fancy dancer.	nj	"[{'word_form': 'oowaa', 'fst_analyses': []}, {'word_form': ',', 'fst_analyses': []}, {'word_form': ""jiikibani'o"", 'fst_analyses': [""jiikibani'o+VAI+Ind+Pos+Neu+3SgProxSubj""]}, {'word_form': 'gaa-niimid', 'fst_analyses': ['ChCnj+PVTense/gii+niimi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+niimi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+niimi+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gabaya'ii ningii-tazhitaa jiibaakweyaan.	It took me a long time to cook.	rg	"[{'word_form': ""gabaya'ii"", 'fst_analyses': [""gabaya'ii+ADVLoc""]}, {'word_form': 'ningii-tazhitaa', 'fst_analyses': ['PVTense/gii+dazhitaa+VAI+Ind+Pos+Neu+1SgSubj']}, {'word_form': 'jiibaakweyaan', 'fst_analyses': ['jiibaakwe+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Niizho-giizhik ningii-tazhitaamin gii-izhaayaang Missouri.	It took us two days to get to Missouri.	rg	[{'word_form': 'niizho-giizhik', 'fst_analyses': ['niizho-giizhik+NUM', 'PNQnt/niizho+giizhik+NA+ProxSg']}, {'word_form': 'ningii-tazhitaamin', 'fst_analyses': ['PVTense/gii+dazhitaa+VAI+Ind+Pos+Neu+ExclSubj']}, {'word_form': 'gii-izhaayaang', 'fst_analyses': ['PVTense/gii+izhaa+VAI+Cnj+Pos+Neu+ExclSubj']}, {'word_form': 'missouri', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]
Niso-giizhik ningii-tazhitaamin gii-maniseyaang. Ningozis ningii-wiidookaag.	It took us three days to cut wood. My son helped me.	rg	[{'word_form': 'niso-giizhik', 'fst_analyses': ['niso-giizhik+NUM', 'PNQnt/niso+giizhik+NA+ProxSg']}, {'word_form': 'ningii-tazhitaamin', 'fst_analyses': ['PVTense/gii+dazhitaa+VAI+Ind+Pos+Neu+ExclSubj']}, {'word_form': 'gii-maniseyaang', 'fst_analyses': ['PVTense/gii+manise+VAI+Cnj+Pos+Neu+ExclSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ningozis', 'fst_analyses': ['gozis+NAD+ProxSg+1SgPoss']}, {'word_form': 'ningii-wiidookaag', 'fst_analyses': ['PVTense/gii+wiidookaw+VTA+Ind+Pos+Neu+3SgProxSubj+1SgObj']}, {'word_form': '.', 'fst_analyses': []}]
Bezhigwanong dazhitaa gii-ishpaagonagaanig a'a mooz.	When the snow is high, a moose frequents one place.	nj	"[{'word_form': 'bezhigwanong', 'fst_analyses': ['bezhigwanong+ADVLoc']}, {'word_form': 'dazhitaa', 'fst_analyses': ['dazhitaa+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gii-ishpaagonagaanig', 'fst_analyses': ['PVTense/gii+ishpaagonagaa+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVTense/gii+ishpaagonagaa+VII+Cnj+Pos+Neu+0PlObvSubj']}, {'word_form': ""a'a"", 'fst_analyses': [""a'a+PRONDem+NA+ProxSg""]}, {'word_form': 'mooz', 'fst_analyses': ['moonz+NA+ProxSg', 'mooz+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Mary miinawaa Rose nagaji'idiwag ezhichigewaad. Gikendamoog apii ge-nagishkodaadiwaad.	Mary and Rose are so familiar with each other. They know exactly when to meet.	nj	"[{'word_form': 'mary', 'fst_analyses': []}, {'word_form': 'miinawaa', 'fst_analyses': ['miinawaa+ADVConj']}, {'word_form': 'rose', 'fst_analyses': []}, {'word_form': ""nagaji'idiwag"", 'fst_analyses': [""nagaji'+VTA+Recip/di+VAI+Ind+Pos+Neu+3PlProxSubj+3PlProxObj"", ""nagaji'idiwag+VAI+Ind+Pos+Neu+3PlProxSubj+3PlProxObj""]}, {'word_form': 'ezhichigewaad', 'fst_analyses': ['ChCnj+izhichige+VAI+Cnj+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gikendamoog', 'fst_analyses': ['gikendam+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': 'apii', 'fst_analyses': ['apii+ADVTmp']}, {'word_form': 'ge-nagishkodaadiwaad', 'fst_analyses': ['ChCnj+PVTense/daa+nagishkodaadiwag+VAI+Cnj+Pos+Neu+3PlProxSubj+3PlProxObj', 'ChCnj+PVTense/ga+nagishkodaadiwag+VAI+Cnj+Pos+Neu+3PlProxSubj+3PlProxObj']}, {'word_form': '.', 'fst_analyses': []}]"
Wiishkobipogozi na 'a bakwezhigan.	Does that bread taste sweet?	rg	"[{'word_form': 'wiishkobipogozi', 'fst_analyses': ['wiishkobipogozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'na', 'fst_analyses': ['na+PCDisc']}, {'word_form': ""'a"", 'fst_analyses': [""'a+PRONDem+NA+ProxSg""]}, {'word_form': 'bakwezhigan', 'fst_analyses': ['bakwezhigan+NA+ProxSg']}, {'word_form': '.', 'fst_analyses': []}]"
Ozhiigizhan waa'-inigokwegakin gimakizinikaanan.	Cut out the pattern for how big you want your moccasins to be.	nj	"[{'word_form': 'ozhiigizhan', 'fst_analyses': ['ozhiigizhan+VTI+Imp+Sim+2SgSubj+0SgObj', 'ozhiigizhan+VTI+Imp+Sim+2SgSubj+0PlObj']}, {'word_form': ""waa'-inigokwegakin"", 'fst_analyses': [""ChCnj+PVTense/wii'+inigokwegad+VII+Cnj+Pos+Neu+0PlSubj"", ""PVTense/wii'+inigokwegad+VII+Pcp+Pos+Neu+0PlSubj+0PlHead""]}, {'word_form': 'gimakizinikaanan', 'fst_analyses': ['makizinikaan+NI+Pl+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Aaniish enigokwegak.	How big is it (something sheet-like)?	es	[{'word_form': 'aaniish', 'fst_analyses': ['aaniish+ADVInter']}, {'word_form': 'enigokwegak', 'fst_analyses': ['ChCnj+inigokwegad+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+inigokwegad+VII+Cnj+Pos+Neu+0SgSubj', 'inigokwegad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': '.', 'fst_analyses': []}]
Aanin enigokwegad gibiinzikawaagan.	What size is your coat?	nj	[{'word_form': 'aanin', 'fst_analyses': []}, {'word_form': 'enigokwegad', 'fst_analyses': []}, {'word_form': 'gibiinzikawaagan', 'fst_analyses': ['biinzikawaagan+NI+Sg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Ginoodinaa onigam.	The portage has a long steep hill.	nj	[{'word_form': 'ginoodinaa', 'fst_analyses': ['ginoodinaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'onigam', 'fst_analyses': ['onigam+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]
Niwawiyadenimaa awe animoons ezhinaagozid. Maanaadizi.	The way that little dog looks amuses me. It's kind of homely.	es	[{'word_form': 'niwawiyadenimaa', 'fst_analyses': ['wawiyadenim+VTA+Ind+Pos+Neu+1SgSubj+3SgProxObj']}, {'word_form': 'awe', 'fst_analyses': ['awe+PRONDem+NA+ProxSg']}, {'word_form': 'animoons', 'fst_analyses': ['animoons+NA+ProxSg']}, {'word_form': 'ezhinaagozid', 'fst_analyses': ['ChCnj+izhinaagozi+VAI+Cnj+Pos+Neu+3SgProxSubj', 'izhinaagozi+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'maanaadizi', 'fst_analyses': ['maanaadizi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Odaabiskobidoon gete-zhiibiigishkaawayaanish. Owii'-aabajitoon miskogaadeyaab.	She's unraveling an old sweater. She wants to use the yarn.	nj	"[{'word_form': 'odaabiskobidoon', 'fst_analyses': ['aabiskobidoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj']}, {'word_form': 'gete-zhiibiigishkaawayaanish', 'fst_analyses': ['PNLex/gete+zhiibiigishkaawayaan+NI+Pej+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""owii'-aabajitoon"", 'fst_analyses': [""PVTense/wii'+aabajitoon+VTI+Ind+Pos+Neu+3SgProxSubj+0SgObj""]}, {'word_form': 'miskogaadeyaab', 'fst_analyses': ['miskogaadeyaab+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Niwii'-wiinibiigadisaan niwaabishki-zhiibiigishkaawayaan.	I tie-dyed my white sweatshirt.	nj	"[{'word_form': ""niwii'-wiinibiigadisaan"", 'fst_analyses': [""PVTense/wii'+wiinibiigadisan+VTI+Ind+Pos+Neu+1SgSubj+0SgObj""]}, {'word_form': 'niwaabishki-zhiibiigishkaawayaan', 'fst_analyses': ['PNLex/waabishki+zhiibiigishkaawayaan+NI+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]"
Dimiimagad naawi-zaaga'igan.	It's deep in the middle of the lake.	rg	"[{'word_form': 'dimiimagad', 'fst_analyses': ['dimii+VII+Aug/magad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': ""naawi-zaaga'igan"", 'fst_analyses': [""PNLex/naawi+zaaga'igan+NI+Sg""]}, {'word_form': '.', 'fst_analyses': []}]"
Giishpin wiimaashkanzig gaa-izhi-dimiinig, da-gichiwise.	If he doesn't go around the deep part of the water, he'll be stuck.	nj	[{'word_form': 'giishpin', 'fst_analyses': ['giishpin+ADVGram']}, {'word_form': 'wiimaashkanzig', 'fst_analyses': ['wiimaashkan+VTI+Cnj+Neg+Neu+3SgProxSubj+0SgObj', 'wiimaashkan+VTI+Cnj+Neg+Neu+3SgProxSubj+0PlObj']}, {'word_form': 'gaa-izhi-dimiinig', 'fst_analyses': ['ChCnj+PVTense/gii+PVRel/izhi+dimii+VII+Cnj+Pos+Neu+0SgObvSubj', 'ChCnj+PVTense/gii+PVRel/izhi+dimii+VII+Cnj+Pos+Neu+0PlObvSubj', 'PVTense/gii+PVRel/izhi+dimii+VII+Pcp+Pos+Neu+0SgObvSubj+0SgObvHead', 'PVSub/gaa+PVRel/izhi+dimii+VII+Cnj+Pos+Neu+0SgObvSubj', 'PVSub/gaa+PVRel/izhi+dimii+VII+Cnj+Pos+Neu+0PlObvSubj']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'da-gichiwise', 'fst_analyses': ['PVTense/ga+gichiwise', 'PVTense/ga+gichiwise+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/daa+gichiwise']}, {'word_form': '.', 'fst_analyses': []}]
Gii-pangisinoon iniwen agwanji'onaaganan aana-gii-maawandoosidooyaan.	The net floats fell as I tried to gather and stack them.	es	"[{'word_form': 'gii-pangisinoon', 'fst_analyses': ['PVTense/gii+bangisin+VII+Ind+Pos+Neu+0PlSubj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem+NA+ObvPl', 'iniwen+PRONDem+NA+ObvSg', 'iniwen+PRONDem+NI+Pl']}, {'word_form': ""agwanji'onaaganan"", 'fst_analyses': [""agwanji'onaagan+NI+Pl""]}, {'word_form': 'aana-gii-maawandoosidooyaan', 'fst_analyses': ['PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj', 'PVTense/aana+PVTense/gii+maawandoosidoon+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj']}, {'word_form': '.', 'fst_analyses': []}]"
Mii imaa wendaanimak ishkwaandeming. Ganabaj bangisin.	The draft is coming from the door there. I think the door is falling.	es	[{'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': 'wendaanimak', 'fst_analyses': ['ChCnj+ondaanimad+VII+Cnj+Pos+Neu+0PlSubj', 'ChCnj+ondaanimad+VII+Cnj+Pos+Neu+0SgSubj', 'ondaanimad+VII+Pcp+Pos+Neu+0SgSubj+0SgHead']}, {'word_form': 'ishkwaandeming', 'fst_analyses': ['ishkwaandem+NI+Loc']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'ganabaj', 'fst_analyses': ['ganabaj+ADVMan']}, {'word_form': 'bangisin', 'fst_analyses': ['bangisin+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Agaasiinad ombisijigan. Gaawiin daa-de-ombizosii nimbakwezhiganikaan.	There's only a little bit of baking powder. My bannock won't rise enough.	nj	[{'word_form': 'agaasiinad', 'fst_analyses': ['agaasiinad+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'ombisijigan', 'fst_analyses': ['ombisijigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gaawiin', 'fst_analyses': ['gaawiin+ADVNeg']}, {'word_form': 'daa-de-ombizosii', 'fst_analyses': ['PVTense/daa+PVLex/de+ombizo+VAI+Ind+Neg+Neu+3SgProxSubj']}, {'word_form': 'nimbakwezhiganikaan', 'fst_analyses': ['bakwezhiganikaan+NA+ProxSg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
Aabitawaasiged aabita-niibino-giizis, da-maajii-miinikaa.	It is the middle of July, that's when the blueberries will  be ready.	nj	[{'word_form': 'aabitawaasiged', 'fst_analyses': ['aabitawaasige+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': 'aabita-niibino-giizis', 'fst_analyses': ['aabita-niibino-giizis+NA+ProxSg']}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'da-maajii-miinikaa', 'fst_analyses': ['PVTense/ga+PVLex/maajii+miinikaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Niishdano daswaabik gii-miigiwe epiichi-miigwechiwendang gii-anamikawimind iniw odaanisan.	He donated twenty dollars because he really felt thankful when they honored his daughter.	es	[{'word_form': 'niishdano', 'fst_analyses': []}, {'word_form': 'daswaabik', 'fst_analyses': ['daswaabik+NUM']}, {'word_form': 'gii-miigiwe', 'fst_analyses': ['PVTense/gii+miigiwe+VAI+Ind+Pos+Neu+3SgProxSubj', 'PVTense/gii+miigiwen+VAIO+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'epiichi-miigwechiwendang', 'fst_analyses': ['ChCnj+PVRel/apiichi+miigwechiwendam+VAI+Cnj+Pos+Neu+3SgProxSubj', 'ChCnj+PVRel/apiichi+miigwechiwendan+VTI+Cnj+Pos+Neu+3SgProxSubj+0SgObj', 'ChCnj+PVRel/apiichi+miigwechiwendan+VTI+Cnj+Pos+Neu+3SgProxSubj+0PlObj', 'PVRel/apiichi+miigwechiwendam+VAI+Pcp+Pos+Neu+3PlProxSubj+3PlProxHead', 'PVRel/apiichi+miigwechiwendam+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead']}, {'word_form': 'gii-anamikawimind', 'fst_analyses': ['PVTense/gii+anamikaw+VTA+Cnj+Pos+Neu+XSubj+3PlObvObj', 'PVTense/gii+anamikaw+VTA+Cnj+Pos+Neu+XSubj+3SgObvObj']}, {'word_form': 'iniw', 'fst_analyses': ['iniw+PRONDem+NA+ObvPl', 'iniw+PRONDem+NA+ObvSg', 'iniw+PRONDem+NI+Pl']}, {'word_form': 'odaanisan', 'fst_analyses': ['daanis+NAD+ObvSg+3SgProxPoss', 'daanis+NAD+ObvPl+3SgProxPoss']}, {'word_form': '.', 'fst_analyses': []}]
Hay', mii gii-noonashkina'igooyaan; onzaam mooshkinebiwag.	Damn, there's not enough room for me. They're full up.	es	"[{'word_form': ""hay'"", 'fst_analyses': [""hay'+PCInterj""]}, {'word_form': ',', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': ""gii-noonashkina'igooyaan"", 'fst_analyses': [""PVTense/gii+noonashkina'+VTA+Cnj+Pos+Neu+XSubj+1SgObj""]}, {'word_form': ';', 'fst_analyses': []}, {'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'mooshkinebiwag', 'fst_analyses': ['mooshkinebiwag+VAIPL+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Amik giinwanaamo. Gabeya'ii jibwaa-mooshkamod.	A beaver takes a long deep breath. It's a long time before it has to surface.	nj	"[{'word_form': 'amik', 'fst_analyses': ['amik+NA+ProxSg']}, {'word_form': 'giinwanaamo', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': ""gabeya'ii"", 'fst_analyses': [""gabeya'ii+ADVTmp""]}, {'word_form': 'jibwaa-mooshkamod', 'fst_analyses': ['PVTense/jibwaa+mooshkamo+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Gii-pi-naazibiibatoo ge-ani-bagamibizoyaan.	She came running down to the shore to greet me when I arrived.	nj	[{'word_form': 'gii-pi-naazibiibatoo', 'fst_analyses': ['PVTense/gii+PVDir/bi+naazibiibatoo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'ge-ani-bagamibizoyaan', 'fst_analyses': ['ChCnj+PVTense/daa+PVDir/ani+bagamibizo+VAI+Cnj+Pos+Neu+1SgSubj', 'ChCnj+PVTense/ga+PVDir/ani+bagamibizo+VAI+Cnj+Pos+Neu+1SgSubj']}, {'word_form': '.', 'fst_analyses': []}]
Niizhoonikenin wii'-agwaashimad gijiibaakwaanakik. Gizhaabikizo.	Use two hands to take your pot out of the stove. It's pretty hot!	nj	"[{'word_form': 'niizhoonikenin', 'fst_analyses': ['niizhoonikeni+VAI+Imp+Sim+2SgSubj']}, {'word_form': ""wii'-agwaashimad"", 'fst_analyses': [""PVTense/wii'+agwaashim+VTA+Cnj+Pos+Neu+2SgSubj+3SgProxObj""]}, {'word_form': 'gijiibaakwaanakik', 'fst_analyses': ['jiibaakwaanakik+NA+ProxSg+2SgPoss']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'gizhaabikizo', 'fst_analyses': ['gizhaabikizo+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': '.', 'fst_analyses': []}]"
Bebakaan igi mitigoog izhinaagoziwag.	The trees all look different.	rg	[{'word_form': 'bebakaan', 'fst_analyses': ['bebakaan+ADVMan']}, {'word_form': 'igi', 'fst_analyses': ['igi+PRONDem+NA+ProxPl']}, {'word_form': 'mitigoog', 'fst_analyses': ['mitig+NA+ProxPl']}, {'word_form': 'izhinaagoziwag', 'fst_analyses': ['izhinaagozi+VAI+Ind+Pos+Neu+3PlProxSubj']}, {'word_form': '.', 'fst_analyses': []}]
Weweni go izhinaagozi a'aw atoobaan.	That radiator looks good.	es	"[{'word_form': 'weweni', 'fst_analyses': ['weweni+ADVMan']}, {'word_form': 'go', 'fst_analyses': ['go+PCDisc']}, {'word_form': 'izhinaagozi', 'fst_analyses': ['izhinaagozi+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': ""a'aw"", 'fst_analyses': [""a'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'atoobaan', 'fst_analyses': ['atoobaan+NA+ProxSg', 'atoobaan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}]"
Aashke naa wewiibendan.	Come one now, think about hurrying up.	es	[{'word_form': 'aashke', 'fst_analyses': ['aashke+PCDisc']}, {'word_form': 'naa', 'fst_analyses': ['naa+PCEmph']}, {'word_form': 'wewiibendan', 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}]
Aapiji gii-wewiibendam gaa-ni-maajaad wa'aw oshki-inini	That young man who just left was in a hurry.	es	"[{'word_form': 'aapiji', 'fst_analyses': ['aapiji+ADVDeg']}, {'word_form': 'gii-wewiibendam', 'fst_analyses': ['PVTense/gii+wewiibendam+VAI+Ind+Pos+Neu+3SgProxSubj']}, {'word_form': 'gaa-ni-maajaad', 'fst_analyses': ['ChCnj+PVTense/gii+PVDir/ni+maajaa+VAI+Cnj+Pos+Neu+3SgProxSubj', 'PVTense/gii+PVDir/ni+maajaa+VAI+Pcp+Pos+Neu+3SgProxSubj+3SgProxHead', 'PVSub/gaa+PVDir/ni+maajaa+VAI+Cnj+Pos+Neu+3SgProxSubj']}, {'word_form': ""wa'aw"", 'fst_analyses': [""wa'aw+PRONDem+NA+ProxSg""]}, {'word_form': 'oshki-inini', 'fst_analyses': ['oshki-inini+NA+ProxSg', 'PNLex/oshki+inini+NA+ProxSg']}]"
Odazhiikawaan iniwen baaka'aakwenyan gaa-kiishkigweda'omind. Obashkobinaan miinawaa obashkobiiswaan.	She's dressing a chicken whose head was chopped off. She's plucking and scalding it.	es	"[{'word_form': 'odazhiikawaan', 'fst_analyses': ['dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'dazhiikaw+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'iniwen', 'fst_analyses': ['iniwen+PRONDem+NA+ObvPl', 'iniwen+PRONDem+NA+ObvSg', 'iniwen+PRONDem+NI+Pl']}, {'word_form': ""baaka'aakwenyan"", 'fst_analyses': [""baaka'aakwenh+NA+ObvSg"", ""baaka'aakwenh+NA+ObvPl""]}, {'word_form': ""gaa-kiishkigweda'omind"", 'fst_analyses': []}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'obashkobinaan', 'fst_analyses': ['bashkobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'bashkobizh+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': 'miinawaa', 'fst_analyses': ['miinawaa+ADVConj']}, {'word_form': 'obashkobiiswaan', 'fst_analyses': ['bashkobiis+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'bashkobiis+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj', 'bashkobiiswi+VTA+Ind+Pos+Neu+3SgProxSubj+3PlObvObj', 'bashkobiiswi+VTA+Ind+Pos+Neu+3SgProxSubj+3SgObvObj']}, {'word_form': '.', 'fst_analyses': []}]"
Bizaan igo izhi-gwayak ani-izhaan. Iwedi dash debinaagwok michikanaakobijigan. Mii imaa ji-bake'adooyan.	You go straight down the road. Where you see a fence, that's where you take the path.	es	"[{'word_form': 'bizaan', 'fst_analyses': ['bizaan+ADVMan']}, {'word_form': 'igo', 'fst_analyses': ['igo+PCEmph']}, {'word_form': 'izhi-gwayak', 'fst_analyses': ['izhi-gwayak+ADVLoc']}, {'word_form': 'ani-izhaan', 'fst_analyses': ['PVDir/ani+izhaa+VAI+Imp+Sim+2SgSubj']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'iwedi', 'fst_analyses': ['iwedi+PRONDem+NI+Sg']}, {'word_form': 'dash', 'fst_analyses': ['dash+ADVConj']}, {'word_form': 'debinaagwok', 'fst_analyses': []}, {'word_form': 'michikanaakobijigan', 'fst_analyses': ['michikanaakobijigan+NI+Sg']}, {'word_form': '.', 'fst_analyses': []}, {'word_form': 'mii', 'fst_analyses': ['mii+ADVPred']}, {'word_form': 'imaa', 'fst_analyses': ['imaa+ADVLoc']}, {'word_form': ""ji-bake'adooyan"", 'fst_analyses': [""PVTense/ga+bake'adoo+VAI+Cnj+Pos+Neu+2SgSubj"", ""PVTense/daa+bake'adoo+VAI+Cnj+Pos+Neu+2SgSubj""]}, {'word_form': '.', 'fst_analyses': []}]"
Onzaam ishpaagamishkaa nimiskwiim.	My blood pressure is too high.	nj	[{'word_form': 'onzaam', 'fst_analyses': ['onzaam+ADVQnt']}, {'word_form': 'ishpaagamishkaa', 'fst_analyses': ['ishpaagamishkaa+VII+Ind+Pos+Neu+0SgSubj']}, {'word_form': 'nimiskwiim', 'fst_analyses': ['miskwi+NI+Poss+Sg+1SgPoss']}, {'word_form': '.', 'fst_analyses': []}]
